id,faculty_id,name,acronym,course_type,year,url,plan_url,last_updated
22862,feup,Mestrado em Engenharia Informática e Computação,M.EIC,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22862,cur_geral.cur_planos_estudos_view?pv_plano_id=22862&pv_ano_lectivo=2025,2026-05-22 08:43:06.707448
22863,feup,Licenciatura em Engenharia e Gestão Industrial,L.EGI,B,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22863,cur_geral.cur_planos_estudos_view?pv_plano_id=22863&pv_ano_lectivo=2025,2026-05-22 08:44:24.199690
22864,feup,Mestrado em Engenharia de Materiais,M.EMAT,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22864,cur_geral.cur_planos_estudos_view?pv_plano_id=22864&pv_ano_lectivo=2025,2026-05-22 08:42:33.566382
22881,feup,Mestrado em Engenharia e Gestão Industrial,M.EGI,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22881,cur_geral.cur_planos_estudos_view?pv_plano_id=22881&pv_ano_lectivo=2025,2026-05-22 08:43:26.697674
22882,feup,Licenciatura em Engenharia Mecânica,L.EM,B,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22882,cur_geral.cur_planos_estudos_view?pv_plano_id=22882&pv_ano_lectivo=2025,2026-05-22 08:44:15.210191
22883,feup,Mestrado em Engenharia Química,M.EQ,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22883,cur_geral.cur_planos_estudos_view?pv_plano_id=22883&pv_ano_lectivo=2025,2026-05-22 08:44:00.204244
22901,feup,Mestrado em Engenharia Mecânica,M.EM,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22901,cur_geral.cur_planos_estudos_view?pv_plano_id=22901&pv_ano_lectivo=2025,2026-05-22 08:42:31.139773
22902,feup,Licenciatura em Engenharia de Materiais,L.EMAT,B,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22902,cur_geral.cur_planos_estudos_view?pv_plano_id=22902&pv_ano_lectivo=2025,2026-05-22 08:44:20.625717
22903,feup,Licenciatura em Engenharia Química,L.EQ,B,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=22903,cur_geral.cur_planos_estudos_view?pv_plano_id=22903&pv_ano_lectivo=2025,2026-05-22 08:44:43.378591
30901,feup,Mestrado em Inteligência Artificial,M.IA,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=30901,cur_geral.cur_planos_estudos_view?pv_plano_id=30901&pv_ano_lectivo=2025,2026-05-22 08:42:37.489591
32241,feup,Licenciatura em Engenharia Aeroespacial,L.AERO,B,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=32241,cur_geral.cur_planos_estudos_view?pv_plano_id=32241&pv_ano_lectivo=2025,2026-05-22 08:44:46.677007
33561,feup,Mestrado em Engenharia de Transportes,M.ET,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=33561,cur_geral.cur_planos_estudos_view?pv_plano_id=33561&pv_ano_lectivo=2025,2026-05-22 08:41:39.286858
33581,feup,Mestrado em Engenharia Aeroespacial,M.AERO,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=33581,cur_geral.cur_planos_estudos_view?pv_plano_id=33581&pv_ano_lectivo=2025,2026-05-22 08:44:09.065908
